suri_rule_id,suri_rule_classtype,suri_rule_msg,most_likely_technique,second_most_likely_technique,third_most_likely_technique
2525000,misc-attack,ET 3CORESec Poor Reputation IP group 1,"{'mitre_technique_id': 'T1046', 'mitre_technique_name': 'Network Service Scanning', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1049', 'mitre_technique_name': 'System Network Connections Discovery', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1106', 'mitre_technique_name': 'Execution through API', 'mitre_tactic_id': 'TA0002', 'mitre_tactic_name': 'Execution'}"
2525001,misc-attack,ET 3CORESec Poor Reputation IP group 2,"{'mitre_technique_id': 'T1046', 'mitre_technique_name': 'Network Service Scanning', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1049', 'mitre_technique_name': 'System Network Configuration Discovery', 'mitre_tactic_id': 'TA0007', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1105', 'mitre_technique_name': 'Ingress Tool Transfer', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}"
2525002,misc-attack,ET 3CORESec Poor Reputation IP group 3,"{'mitre_technique_id': 'T1046', 'mitre_technique_name': 'Network Service Scanning', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1049', 'mitre_technique_name': 'System Network Connections Discovery', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1105', 'mitre_technique_name': 'Ingress Tool Transfer', 'mitre_tactic_id': 'TA0010', 'mitre_tactic_name': 'Exfiltration'}"
2525003,misc-attack,ET 3CORESec Poor Reputation IP group 4,"{'mitre_technique_id': 'T1046', 'mitre_technique_name': 'Network Service Scanning', 'mitre_tactic_id': 'TA0001', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1049', 'mitre_technique_name': 'System Network Connections Discovery', 'mitre_tactic_id': 'TA0007', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1105', 'mitre_technique_name': 'Ingress Tool Transfer', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Exfiltration'}"
2525004,misc-attack,ET 3CORESec Poor Reputation IP group 5,"{'mitre_technique_id': 'T1046', 'mitre_technique_name': 'Network Service Scanning', 'mitre_tactic_id': 'TA0001', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1043', 'mitre_technique_name': 'Commonly Used Port', 'mitre_tactic_id': 'TA0001', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1048', 'mitre_technique_name': 'Exfiltration Over Alternative Protocol', 'mitre_tactic_id': 'TA0010', 'mitre_tactic_name': 'Exfiltration'}"
2525005,misc-attack,ET 3CORESec Poor Reputation IP group 6,"{'mitre_technique_id': 'T1046', 'mitre_technique_name': 'Network Service Scanning', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1049', 'mitre_technique_name': 'System Network Connections Discovery', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1043', 'mitre_technique_name': 'Commonly Used Port', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}"
2525006,misc-attack,ET 3CORESec Poor Reputation IP group 7,"{'mitre_technique_id': 'T1046', 'mitre_technique_name': 'Network Service Scanning', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1049', 'mitre_technique_name': 'System Network Connections Discovery', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1105', 'mitre_technique_name': 'Ingress Tool Transfer', 'mitre_tactic_id': 'TA0010', 'mitre_tactic_name': 'Exfiltration'}"
2525007,misc-attack,ET 3CORESec Poor Reputation IP group 8,"{'mitre_technique_id': 'T1046', 'mitre_technique_name': 'Network Service Scanning', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1049', 'mitre_technique_name': 'System Network Configuration Discovery', 'mitre_tactic_id': 'TA0007', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1105', 'mitre_technique_name': 'Ingress Tool Transfer', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}"
2525008,misc-attack,ET 3CORESec Poor Reputation IP group 9,"{'mitre_technique_id': 'T1046', 'mitre_technique_name': 'Network Service Scanning', 'mitre_tactic_id': 'TA0001', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1049', 'mitre_technique_name': 'System Network Configuration Discovery', 'mitre_tactic_id': 'TA0007', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1105', 'mitre_technique_name': 'Ingress Tool Transfer', 'mitre_tactic_id': 'TA0010', 'mitre_tactic_name': 'Exfiltration'}"
2525009,misc-attack,ET 3CORESec Poor Reputation IP group 10,"{'mitre_technique_id': 'T1046', 'mitre_technique_name': 'Network Service Scanning', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1049', 'mitre_technique_name': 'System Network Connections Discovery', 'mitre_tactic_id': 'TA0007', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1105', 'mitre_technique_name': 'Ingress Tool Transfer', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}"
2403300,misc-attack,ET CINS Active Threat Intelligence Poor Reputation IP group 1,"{'mitre_technique_id': 'T1043', 'mitre_technique_name': 'Commonly Used Port', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Command and Control'}","{'mitre_technique_id': 'T1046', 'mitre_technique_name': 'Network Service Scanning', 'mitre_tactic_id': 'TA0007', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1049', 'mitre_technique_name': 'System Network Connections Discovery', 'mitre_tactic_id': 'TA0007', 'mitre_tactic_name': 'Discovery'}"
2403301,misc-attack,ET CINS Active Threat Intelligence Poor Reputation IP group 2,"{'mitre_technique_id': 'T1043', 'mitre_technique_name': 'Commonly Used Port', 'mitre_tactic_id': 'TA0005', 'mitre_tactic_name': 'Command and Control'}","{'mitre_technique_id': 'T1048', 'mitre_technique_name': 'Exfiltration Over Alternative Protocol', 'mitre_tactic_id': 'TA0010', 'mitre_tactic_name': 'Exfiltration'}","{'mitre_technique_id': 'T1105', 'mitre_technique_name': 'Ingress Tool Transfer', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Command and Control'}"
2403302,misc-attack,ET CINS Active Threat Intelligence Poor Reputation IP group 3,"{'mitre_technique_id': 'T1043', 'mitre_technique_name': 'Commonly Used Port', 'mitre_tactic_id': 'TA0004', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1046', 'mitre_technique_name': 'Network Service Scanning', 'mitre_tactic_id': 'TA0001', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1048', 'mitre_technique_name': 'Exfiltration Over Alternative Protocol', 'mitre_tactic_id': 'TA0010', 'mitre_tactic_name': 'Exfiltration'}"
2403303,misc-attack,ET CINS Active Threat Intelligence Poor Reputation IP group 4,"{'mitre_technique_id': 'T1046', 'mitre_technique_name': 'Network Service Scanning', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1043', 'mitre_technique_name': 'Commonly Used Port', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1048', 'mitre_technique_name': 'Exfiltration Over Alternative Protocol', 'mitre_tactic_id': 'TA0010', 'mitre_tactic_name': 'Exfiltration'}"
2403304,misc-attack,ET CINS Active Threat Intelligence Poor Reputation IP group 5,"{'mitre_technique_id': 'T1046', 'mitre_technique_name': 'Network Service Scanning', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1043', 'mitre_technique_name': 'Commonly Used Port', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1048', 'mitre_technique_name': 'Exfiltration Over Alternative Protocol', 'mitre_tactic_id': 'TA0010', 'mitre_tactic_name': 'Exfiltration'}"
2403305,misc-attack,ET CINS Active Threat Intelligence Poor Reputation IP group 6,"{'mitre_technique_id': 'T1043', 'mitre_technique_name': 'Commonly Used Port', 'mitre_tactic_id': 'TA0005', 'mitre_tactic_name': 'Command and Control'}","{'mitre_technique_id': 'T1048', 'mitre_technique_name': 'Exfiltration Over Alternative Protocol', 'mitre_tactic_id': 'TA0010', 'mitre_tactic_name': 'Exfiltration'}","{'mitre_technique_id': 'T1105', 'mitre_technique_name': 'Ingress Tool Transfer', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Command and Control'}"
2403306,misc-attack,ET CINS Active Threat Intelligence Poor Reputation IP group 7,"{'mitre_technique_id': 'T1043', 'mitre_technique_name': 'Commonly Used Port', 'mitre_tactic_id': 'TA0011', 'mitre_tactic_name': 'Command and Control'}","{'mitre_technique_id': 'T1048', 'mitre_technique_name': 'Exfiltration Over Alternative Protocol', 'mitre_tactic_id': 'TA0010', 'mitre_tactic_name': 'Exfiltration'}","{'mitre_technique_id': 'T1049', 'mitre_technique_name': 'Exfiltration Over Command and Control Channel', 'mitre_tactic_id': 'TA0010', 'mitre_tactic_name': 'Exfiltration'}"
2403307,misc-attack,ET CINS Active Threat Intelligence Poor Reputation IP group 8,"{'mitre_technique_id': 'T1043', 'mitre_technique_name': 'Commonly Used Port', 'mitre_tactic_id': 'TA0004', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1046', 'mitre_technique_name': 'Network Service Scanning', 'mitre_tactic_id': 'TA0001', 'mitre_tactic_name': 'Discovery'}","{'mitre_technique_id': 'T1048', 'mitre_technique_name': 'Exfiltration Over Alternative Protocol', 'mitre_tactic_id': 'TA0010', 'mitre_tactic_name': 'Exfiltration'}"
